route_key,window_start,window_end,precipitation_sum_json,windspeed_max_json,api_call_timestamp
HUB17-HUB10,2025-11-15,2025-11-17,"[0.0, 0.4, 0.5]","[20.6, 5.4, 21.4]",2026-08-14 06:28:39.111524
HUB05-HUB02,2025-04-09,2025-04-12,"[1.1, 0.7, 0.0, 0.0]","[16.2, 17.0, 22.4, 16.1]",2026-08-14 06:28:39.111736
HUB01-HUB07,2023-07-12,2023-07-15,"[0.8, 11.6, 15.4, 19.2]","[12.9, 17.9, 13.6, 15.1]",2026-08-14 06:28:39.111898
HUB15-HUB06,2023-11-18,2023-11-20,"[0.4, 4.1, 2.2]","[10.1, 16.9, 13.2]",2026-08-14 06:28:39.112038
HUB01-HUB02,2023-10-26,2023-10-27,"[13.4, 0.0]","[13.8, 15.0]",2026-08-14 06:28:39.112220
HUB16-HUB02,2023-01-26,2023-01-27,"[0.0, 1.1]","[23.0, 12.4]",2026-08-14 06:28:39.112358
HUB10-HUB17,2023-11-20,2023-11-22,"[0.7, 0.6, 0.8]","[22.1, 14.4, 21.3]",2026-08-14 06:28:39.112532
HUB11-HUB02,2023-01-17,2023-01-19,"[0.2, 0.2, 0.9]","[10.7, 10.2, 14.5]",2026-08-14 06:28:39.112684
HUB04-HUB12,2025-01-25,2025-01-29,"[0.6, 0.0, 0.1, 0.0, None]","[20.4, 14.1, 15.2, 24.8, 11.0]",2026-08-14 06:28:39.112844
HUB05-HUB18,2025-07-03,2025-07-05,"[3.0, 13.1, 22.9]","[16.1, 10.1, 8.4]",2026-08-14 06:28:39.112981
HUB04-HUB10,2023-08-04,2023-08-08,"[4.0, 19.0, 69.8, 56.3, 29.2]","[24.3, 37.0, 1.0, 17.0, 1.7]",2026-08-14 06:28:39.113223
HUB14-HUB05,2023-05-04,2023-05-07,"[0.0, 0.0, 0.0, 0.6]","[13.8, 10.7, 17.9, 16.9]",2026-08-14 06:28:39.113431
HUB09-HUB12,2024-02-07,2024-02-10,"[0.3, 0.3, 0.0, 0.0]","[19.1, 23.0, 6.8, 13.3]",2026-08-14 06:28:39.113623
HUB02-HUB03,2023-07-16,2023-07-17,"[29.2, 0.1]","[8.9, 23.3]",2026-08-14 06:28:39.113777
HUB01-HUB16,2025-08-30,2025-08-31,"[28.8, 0.3]","[14.3, 12.3]",2026-08-14 06:28:39.113982
HUB13-HUB06,2024-05-24,2024-05-27,"[0.2, 0.2, 0.0, 1.4]","[13.3, 14.5, 12.3, 18.1]",2026-08-14 06:28:39.114259
HUB13-HUB06,2023-03-21,2023-03-25,"[0.2, 0.2, 0.0, 1.0, 0.5]","[17.0, 10.2, 11.3, 16.8, 16.2]",2026-08-14 06:28:39.114433
HUB06-HUB11,2024-10-16,2024-10-20,"[0.1, 1.2, 0.4, 1.3, 1.0]","[23.6, 22.1, 24.2, 19.6, 23.2]",2026-08-14 06:28:39.114607
HUB07-HUB10,2023-06-26,2023-06-29,"[22.0, 6.8, 0.4, 33.3]","[5.4, 1.6, 8.4, 20.5]",2026-08-14 06:28:39.114761
HUB15-HUB17,2024-08-11,2024-08-13,"[0.0, 21.6, 15.0]","[1.3, 15.2, 18.3]",2026-08-14 06:28:39.114898
HUB02-HUB15,2023-09-06,2023-09-08,"[0.0, 1.3, 7.6]","[14.5, 18.8, 9.1]",2026-08-14 06:28:39.115034
HUB18-HUB05,2025-06-23,2025-06-25,"[3.9, 6.1, 0.9]","[17.4, 11.0, 16.4]",2026-08-14 06:28:39.115198
HUB16-HUB11,2023-03-31,2023-04-02,"[1.4, 3.5, 0.7]","[14.9, 3.4, 15.9]",2026-08-14 06:28:39.115345
HUB03-HUB05,2025-03-19,2025-03-21,"[0.6, 0.0, 1.0]","[7.2, 14.7, 12.3]",2026-08-14 06:28:39.115484
HUB10-HUB13,2024-09-19,2024-09-23,"[0.6, 0.3, 0.0, 0.0, 0.0]","[10.0, 17.0, 13.9, 9.0, 6.9]",2026-08-14 06:28:39.115652
HUB11-HUB15,2023-11-21,2023-11-23,"[0.0, 0.0, 0.0]","[21.6, 19.9, 18.9]",2026-08-14 06:28:39.115786
HUB17-HUB11,2024-09-17,2024-09-19,"[0.9, 0.0, 0.0]","[19.6, 1.7, 10.4]",2026-08-14 06:28:39.115917
HUB11-HUB05,2025-01-29,2025-02-02,"[0.0, 0.8, 0.0, 0.2, 1.7]","[10.5, 13.5, 15.4, 11.3, 11.2]",2026-08-14 06:28:39.116065
HUB01-HUB08,2023-07-10,2023-07-12,"[0.2, 0.2, 0.0]","[16.8, 10.3, 11.7]",2026-08-14 06:28:39.116231
HUB06-HUB16,2024-12-27,2024-12-29,"[1.2, 0.5, 0.2]","[11.8, 22.1, 16.9]",2026-08-14 06:28:39.116368
HUB11-HUB05,2025-03-12,2025-03-16,"[0.0, 0.0, 0.4, 0.5, 0.0]","[11.1, 11.5, 14.4, 16.5, 22.9]",2026-08-14 06:28:39.116575
HUB07-HUB03,2023-04-07,2023-04-09,"[0.0, 0.0, 0.5]","[3.9, 15.2, 22.8]",2026-08-14 06:28:39.116785
HUB09-HUB12,2025-11-25,2025-11-29,"[1.0, 0.4, 0.4, 0.1, 0.2]","[25.7, 26.6, 15.6, 14.3, 12.5]",2026-08-14 06:28:39.116959
HUB17-HUB16,2023-07-24,2023-07-27,"[0.3, 6.9, 17.0, 26.1]","[17.6, 13.8, 16.0, 14.9]",2026-08-14 06:28:39.117111
HUB17-HUB13,2023-02-17,2023-02-19,"[0.7, 1.0, 0.1]","[17.9, 19.1, 15.0]",2026-08-14 06:28:39.117295
HUB05-HUB06,2023-05-19,2023-05-20,"[0.4, 1.1]","[12.6, 17.3]",2026-08-14 06:28:39.117424
HUB04-HUB09,2025-03-24,2025-03-27,"[0.0, 0.7, 0.2, 0.0]","[8.6, 12.4, 7.3, 9.0]",2026-08-14 06:28:39.117579
HUB18-HUB07,2023-07-12,2023-07-14,"[0.0, 0.0, 1.9]","[14.9, 12.7, 10.8]",2026-08-14 06:28:39.117735
HUB10-HUB18,2024-12-23,2024-12-27,"[0.0, 0.4, 1.0, 0.0, 0.8]","[12.7, 27.0, 18.8, 24.4, 17.4]",2026-08-14 06:28:39.117896
HUB11-HUB12,2024-12-08,2024-12-09,"[0.5, 0.1]","[26.5, 34.9]",2026-08-14 06:28:39.118022
HUB04-HUB03,2023-09-19,2023-09-20,"[0.2, 9.4]","[18.0, 20.3]",2026-08-14 06:28:39.118227
HUB12-HUB01,2024-05-30,2024-06-02,"[0.6, 44.8, 15.6, 0.0]","[23.6, 22.1, 7.9, 6.6]",2026-08-14 06:28:39.118384
HUB16-HUB10,2023-02-19,2023-02-22,"[0.0, 0.4, 0.0, 0.0]","[8.8, 5.1, 20.4, 9.9]",2026-08-14 06:28:39.118533
HUB03-HUB08,2024-07-30,2024-08-01,"[0.1, 1.5, 0.0]","[11.2, 13.2, 16.4]",2026-08-14 06:28:39.118683
HUB07-HUB13,2025-01-12,2025-01-17,"[0.2, 0.6, 0.0, 0.0, 0.3, 0.0]","[17.1, 7.7, 15.7, 8.3, 13.0, 12.0]",2026-08-14 06:28:39.118849
HUB08-HUB10,2025-07-03,2025-07-06,"[1.1, 1.2, 30.5, 10.8]","[22.8, 26.6, 12.9, 23.5]",2026-08-14 06:28:39.118997
HUB09-HUB17,2024-12-06,2024-12-08,"[0.7, 0.3, 0.0]","[18.1, 31.6, 23.5]",2026-08-14 06:28:39.119153
HUB05-HUB14,2023-03-07,2023-03-10,"[0.4, 0.0, 2.9, 0.0]","[12.6, 11.5, 18.1, 14.0]",2026-08-14 06:28:39.119313
HUB13-HUB05,2023-03-11,2023-03-15,"[0.0, 0.5, 0.8, 0.1, 0.0]","[16.3, 14.4, 12.1, 11.1, 14.6]",2026-08-14 06:28:39.119469
HUB04-HUB16,2024-03-04,2024-03-06,"[0.4, 0.4, 0.0]","[13.4, 15.1, 19.3]",2026-08-14 06:28:39.119614
HUB05-HUB13,2024-05-30,2024-06-03,"[13.1, 0.0, 0.3, 0.8, 1.1]","[16.1, 12.4, 11.1, 21.7, 9.2]",2026-08-14 06:28:39.119776
HUB10-HUB13,2024-05-18,2024-05-22,"[0.0, 1.4, 0.8, 0.6, 0.1]","[20.0, 11.0, 19.4, 8.9, 15.9]",2026-08-14 06:28:39.119943
HUB03-HUB09,2025-10-15,2025-10-17,"[0.0, 0.4, 1.0]","[15.5, 11.4, 13.8]",2026-08-14 06:28:39.120081
HUB16-HUB09,2024-01-18,2024-01-20,"[0.3, 0.5, 0.9]","[19.6, 11.5, 12.5]",2026-08-14 06:28:39.120250
HUB09-HUB13,2023-03-22,2023-03-26,"[1.0, 0.2, 0.0, 0.5, 0.5]","[11.0, 2.9, 22.4, 15.6, 14.4]",2026-08-14 06:28:39.120409
HUB18-HUB06,2025-10-23,2025-10-25,"[1.3, 0.9, 0.0]","[12.8, 11.0, 12.6]",2026-08-14 06:28:39.120545
HUB07-HUB06,2023-11-09,2023-11-10,"[0.0, 0.5]","[15.8, 17.2]",2026-08-14 06:28:39.120685
HUB01-HUB10,2025-03-04,2025-03-08,"[0.9, 0.0, 1.1, 0.0, 1.1]","[8.8, 3.2, 21.8, 26.5, 13.9]",2026-08-14 06:28:39.120843
HUB07-HUB10,2023-10-25,2023-10-29,"[0.0, 0.0, 0.2, 0.0, 0.1]","[19.2, 49.0, 27.8, 27.6, 25.4]",2026-08-14 06:28:39.120998
HUB12-HUB18,2024-04-02,2024-04-05,"[None, 0.3, 0.7, 0.0]","[4.1, 3.9, 6.1, 17.5]",2026-08-14 06:28:39.121183
HUB01-HUB03,2023-02-05,2023-02-06,"[0.3, 0.0]","[9.5, 11.3]",2026-08-14 06:28:39.121319
HUB09-HUB14,2025-06-26,2025-06-28,"[22.4, 0.0, 0.9]","[4.5, 12.1, 7.1]",2026-08-14 06:28:39.121457
HUB15-HUB17,2023-10-05,2023-10-07,"[2.2, 21.2, 0.1]","[21.4, 22.2, 27.8]",2026-08-14 06:28:39.121605
HUB17-HUB13,2025-07-05,2025-07-07,"[47.5, 13.9, 1.0]","[18.8, 14.4, 4.2]",2026-08-14 06:28:39.121746
HUB14-HUB04,2025-01-07,2025-01-10,"[0.0, 1.0, 0.1, 1.1]","[21.6, 8.5, 16.4, 9.1]",2026-08-14 06:28:39.121891
HUB05-HUB07,2023-07-07,2023-07-08,"[0.4, 0.0]","[17.5, 13.9]",2026-08-14 06:28:39.122015
HUB13-HUB05,2025-05-11,2025-05-15,"[1.0, 0.0, 0.0, 0.3, 0.9]","[16.4, 12.8, 14.7, 11.6, 16.0]",2026-08-14 06:28:39.122261
HUB15-HUB01,2024-02-22,2024-02-24,"[None, 5.7, 0.6]","[8.1, 9.8, 20.9]",2026-08-14 06:28:39.122420
HUB08-HUB07,2024-08-10,2024-08-11,"[1.0, 39.6]","[9.7, 17.4]",2026-08-14 06:28:39.122549
HUB12-HUB10,2025-03-17,2025-03-20,"[0.0, 0.0, 0.0, 0.2]","[14.7, 11.1, 10.5, 28.5]",2026-08-14 06:28:39.122712
HUB09-HUB03,2025-11-03,2025-11-05,"[0.9, 0.7, 4.0]","[8.5, 17.7, 21.0]",2026-08-14 06:28:39.122851
HUB08-HUB17,2024-02-10,2024-02-13,"[0.2, 0.0, 0.0, 0.0]","[7.6, 14.7, 24.0, 13.4]",2026-08-14 06:28:39.122999
HUB12-HUB18,2024-12-12,2024-12-15,"[0.6, 0.4, 0.3, 0.4]","[23.8, 21.8, 13.9, 21.4]",2026-08-14 06:28:39.123174
HUB18-HUB02,2024-02-10,2024-02-11,"[0.8, 0.6]","[14.5, 16.1]",2026-08-14 06:28:39.123313
HUB18-HUB12,2025-06-12,2025-06-15,"[0.0, 0.5, 0.0, 24.4]","[10.9, 11.0, 4.5, 7.9]",2026-08-14 06:28:39.123494
HUB01-HUB13,2023-10-18,2023-10-20,"[0.7, 0.0, 1.1]","[21.2, 27.9, 20.5]",2026-08-14 06:28:39.123652
HUB06-HUB12,2025-07-07,2025-07-11,"[0.0, 0.9, 0.2, 35.1, 0.7]","[22.9, 7.7, 9.0, 6.3, 19.6]",2026-08-14 06:28:39.123823
HUB15-HUB14,2024-09-17,2024-09-18,"[0.0, 1.2]","[10.0, 12.7]",2026-08-14 06:28:39.123953
HUB14-HUB04,2023-05-17,2023-05-20,"[0.3, 0.6, 4.5, 0.9]","[12.5, 21.8, 35.3, 10.5]",2026-08-14 06:28:39.124106
HUB14-HUB02,2023-04-17,2023-04-18,"[0.2, 10.7]","[18.4, 15.7]",2026-08-14 06:28:39.124272
HUB12-HUB07,2024-09-11,2024-09-15,"[0.1, 0.0, 11.8, 4.9, 0.0]","[15.0, 15.0, 16.4, 11.0, 11.3]",2026-08-14 06:28:39.124434
HUB08-HUB14,2023-06-30,2023-07-02,"[0.6, 0.6, 0.1]","[14.0, 9.1, 20.9]",2026-08-14 06:28:39.124581
HUB12-HUB04,2023-09-21,2023-09-25,"[None, 0.9, 7.5, 4.5, 0.5]","[12.8, 13.5, 8.5, 11.9, 4.6]",2026-08-14 06:28:39.124747
HUB15-HUB12,2023-03-21,2023-03-24,"[0.3, 0.3, 13.6, 0.0]","[15.1, 31.9, 9.6, 2.7]",2026-08-14 06:28:39.124898
HUB02-HUB01,2025-11-18,2025-11-19,"[0.0, 0.6]","[8.2, 6.1]",2026-08-14 06:28:39.125028
HUB01-HUB02,2025-07-25,2025-07-26,"[16.5, 36.9]","[12.9, 15.3]",2026-08-14 06:28:39.125184
HUB14-HUB08,2025-02-10,2025-02-13,"[0.2, 0.9, 0.0, 0.0]","[10.2, 16.4, 13.8, 15.6]",2026-08-14 06:28:39.125349
HUB02-HUB05,2024-01-26,2024-01-29,"[0.8, 1.4, 0.0, 1.3]","[15.4, 11.0, 13.7, 13.4]",2026-08-14 06:28:39.125497
HUB08-HUB09,2023-12-14,2023-12-15,"[0.4, 0.0]","[14.4, 11.1]",2026-08-14 06:28:39.125636
HUB03-HUB05,2025-07-14,2025-07-16,"[1.3, 0.0, 0.0]","[9.4, 13.8, 15.6]",2026-08-14 06:28:39.125774
HUB06-HUB13,2024-08-15,2024-08-19,"[1.2, 45.5, 8.8, 0.7, 33.1]","[19.7, 11.6, 14.7, 10.5, 15.0]",2026-08-14 06:28:39.125934
HUB04-HUB02,2023-11-12,2023-11-13,"[0.5, 0.3]","[20.7, 11.0]",2026-08-14 06:28:39.126093
HUB08-HUB17,2024-10-27,2024-10-30,"[1.5, 1.4, 0.9, 0.0]","[36.5, 26.2, 23.9, 36.1]",2026-08-14 06:28:39.126283
HUB01-HUB12,2024-11-28,2024-11-30,"[0.0, 0.0, 0.0]","[22.5, 21.5, 9.8]",2026-08-14 06:28:39.126424
HUB16-HUB18,2024-07-30,2024-07-31,"[38.8, 14.8]","[2.4, 22.3]",2026-08-14 06:28:39.126552
HUB13-HUB14,2025-09-01,2025-09-03,"[9.4, 9.9, 0.4]","[16.0, 6.5, 20.2]",2026-08-14 06:28:39.126707
HUB12-HUB09,2025-10-16,2025-10-20,"[0.5, 0.0, 0.2, 0.0, 9.6]","[17.0, 16.1, 17.2, 13.5, 15.3]",2026-08-14 06:28:39.126867
HUB14-HUB08,2025-03-06,2025-03-08,"[1.3, 1.2, 0.1]","[15.7, 15.9, 14.1]",2026-08-14 06:28:39.127005
HUB01-HUB09,2025-11-15,2025-11-17,"[0.7, 0.0, 0.2]","[8.5, 14.2, 13.0]",2026-08-14 06:28:39.127170
HUB10-HUB03,2024-08-06,2024-08-09,"[12.4, 0.0, 4.8, 0.2]","[7.5, 18.6, 3.1, 10.0]",2026-08-14 06:28:39.127330
HUB05-HUB15,2024-11-12,2024-11-14,"[0.0, 0.6, 0.8]","[18.5, 22.5, 15.4]",2026-08-14 06:28:39.127479
HUB16-HUB02,2025-07-20,2025-07-22,"[0.6, 23.1, 35.2]","[10.2, 10.2, 16.9]",2026-08-14 06:28:39.127633
HUB13-HUB12,2024-09-08,2024-09-09,"[0.5, 0.0]","[13.7, 34.6]",2026-08-14 06:28:39.127765
HUB02-HUB03,2025-07-20,2025-07-21,"[0.0, 0.0]","[21.9, 16.4]",2026-08-14 06:28:39.127898
HUB16-HUB15,2025-11-09,2025-11-10,"[0.0, 0.0]","[16.7, 14.1]",2026-08-14 06:28:39.128026
HUB11-HUB02,2023-04-16,2023-04-18,"[0.0, 0.4, 0.0]","[8.8, 12.3, 13.2]",2026-08-14 06:28:39.128203
HUB10-HUB18,2025-01-10,2025-01-14,"[0.0, 0.0, 0.7, 0.5, 6.7]","[16.3, 9.0, 17.4, 17.0, 26.8]",2026-08-14 06:28:39.128371
HUB03-HUB16,2023-09-26,2023-09-27,"[0.8, 0.6]","[14.0, 10.8]",2026-08-14 06:28:39.128498
HUB11-HUB03,2024-09-16,2024-09-19,"[0.6, 4.2, 0.9, 0.0]","[14.1, 23.0, 18.4, 7.4]",2026-08-14 06:28:39.128674
HUB07-HUB08,2024-07-22,2024-07-23,"[0.1, 0.2]","[15.9, 16.7]",2026-08-14 06:28:39.128849
HUB06-HUB01,2024-05-26,2024-05-29,"[4.2, 0.0, 0.0, 0.5]","[11.8, 14.8, 17.0, 24.1]",2026-08-14 06:28:39.129015
HUB04-HUB16,2025-09-21,2025-09-23,"[0.0, 1.5, 0.2]","[15.2, 10.5, 13.4]",2026-08-14 06:28:39.129194
HUB03-HUB18,2023-01-31,2023-02-01,"[0.0, 0.8]","[8.2, 15.7]",2026-08-14 06:28:39.129333
HUB16-HUB10,2025-06-11,2025-06-14,"[0.8, 2.1, 31.4, 0.6]","[24.5, 19.0, 26.6, 19.3]",2026-08-14 06:28:39.129481
HUB08-HUB11,2023-06-15,2023-06-18,"[4.7, 0.0, 0.5, 5.6]","[10.3, 15.4, 15.0, 20.3]",2026-08-14 06:28:39.129638
HUB05-HUB13,2024-05-06,2024-05-10,"[1.2, 1.0, 5.5, 21.3, 0.0]","[13.7, 7.4, 16.0, 19.2, 22.6]",2026-08-14 06:28:39.129807
HUB10-HUB13,2023-11-07,2023-11-11,"[1.4, 0.0, None, 1.3, 0.2]","[16.3, 9.5, 13.6, 13.6, 13.7]",2026-08-14 06:28:39.129965
HUB07-HUB08,2024-04-29,2024-04-30,"[0.9, 0.8]","[16.1, 14.7]",2026-08-14 06:28:39.130153
HUB11-HUB18,2025-12-18,2025-12-21,"[0.7, 0.1, 0.0, 0.0]","[15.6, 20.1, 18.0, 18.5]",2026-08-14 06:28:39.130319
HUB01-HUB18,2025-11-09,2025-11-10,"[0.1, 0.4]","[22.0, 31.1]",2026-08-14 06:28:39.130447
HUB04-HUB01,2023-08-05,2023-08-06,"[68.6, 0.9]","[16.0, 21.9]",2026-08-14 06:28:39.130580
HUB12-HUB15,2024-02-15,2024-02-18,"[0.3, 0.5, 0.6, 0.5]","[16.5, 8.8, 11.9, 15.5]",2026-08-14 06:28:39.130732
HUB02-HUB04,2024-01-31,2024-02-01,"[0.6, 0.5]","[14.8, 5.8]",2026-08-14 06:28:39.130858
HUB18-HUB12,2025-08-19,2025-08-22,"[3.4, 0.0, 11.7, None]","[1.6, 18.0, 9.0, 40.7]",2026-08-14 06:28:39.131006
HUB07-HUB15,2023-05-29,2023-05-31,"[1.0, 0.8, 1.4]","[6.5, 25.0, 12.8]",2026-08-14 06:28:39.131175
HUB11-HUB08,2023-05-20,2023-05-23,"[0.9, 0.7, 0.6, 0.2]","[15.2, 11.3, 12.6, 13.5]",2026-08-14 06:28:39.131345
HUB15-HUB13,2023-03-24,2023-03-26,"[0.0, 0.0, 0.0]","[10.9, 8.1, 9.1]",2026-08-14 06:28:39.131485
HUB09-HUB06,2023-06-23,2023-06-24,"[0.4, 0.7]","[13.0, 14.8]",2026-08-14 06:28:39.131620
HUB05-HUB09,2023-06-25,2023-06-26,"[6.8, 7.6]","[10.3, 12.2]",2026-08-14 06:28:39.131749
HUB16-HUB06,2025-04-09,2025-04-11,"[1.5, 0.6, 0.8]","[18.1, 12.2, 14.6]",2026-08-14 06:28:39.131889
HUB13-HUB18,2023-09-12,2023-09-14,"[1.1, 0.0, 19.7]","[13.9, 15.5, 12.7]",2026-08-14 06:28:39.132026
HUB13-HUB17,2025-12-25,2025-12-27,"[0.0, 0.1, 1.4]","[24.1, 23.1, 25.1]",2026-08-14 06:28:39.132219
HUB05-HUB12,2024-10-01,2024-10-06,"[0.2, 0.0, None, 1.1, 0.1, 29.2]","[19.1, 19.6, 23.5, 37.1, 29.9, 12.2]",2026-08-14 06:28:39.132400
HUB02-HUB06,2025-08-19,2025-08-22,"[0.0, 0.0, 16.3, 11.9]","[13.7, 12.9, 7.4, 7.6]",2026-08-14 06:28:39.132551
HUB05-HUB01,2023-03-25,2023-03-28,"[0.0, 0.1, 0.0, 0.2]","[18.0, 13.5, 10.5, 23.5]",2026-08-14 06:28:39.132713
HUB14-HUB04,2025-02-05,2025-02-08,"[0.5, 0.4, 0.5, 0.0]","[12.3, 14.9, 11.4, 21.5]",2026-08-14 06:28:39.132862
HUB04-HUB02,2023-04-02,2023-04-03,"[1.3, 0.7]","[14.7, 15.6]",2026-08-14 06:28:39.132987
HUB15-HUB05,2024-09-09,2024-09-11,"[0.0, 1.1, 0.2]","[12.6, 20.9, 13.7]",2026-08-14 06:28:39.133121
HUB08-HUB16,2024-11-10,2024-11-11,"[1.3, 0.7]","[11.6, 15.4]",2026-08-14 06:28:39.133282
HUB06-HUB12,2023-09-06,2023-09-10,"[11.0, 0.5, 28.3, 11.1, 17.8]","[9.5, 18.0, 22.2, 15.2, 25.5]",2026-08-14 06:28:39.133442
HUB05-HUB18,2024-09-07,2024-09-09,"[0.0, 1.7, 0.0]","[11.6, 18.8, 19.9]",2026-08-14 06:28:39.133591
HUB02-HUB05,2025-04-18,2025-04-20,"[0.1, 0.1, 0.3]","[11.6, 14.2, 15.2]",2026-08-14 06:28:39.133739
HUB07-HUB05,2024-04-10,2024-04-11,"[1.3, 0.6]","[13.8, 19.8]",2026-08-14 06:28:39.133865
HUB17-HUB09,2023-09-07,2023-09-09,"[16.2, 0.4, 6.0]","[17.7, 15.2, 15.7]",2026-08-14 06:28:39.134000
HUB11-HUB05,2025-10-02,2025-10-05,"[0.1, 0.0, 0.2, 0.0]","[11.2, 16.6, 15.4, 17.2]",2026-08-14 06:28:39.134219
HUB15-HUB17,2023-03-18,2023-03-20,"[0.0, 0.0, 0.6]","[17.7, 15.0, 17.7]",2026-08-14 06:28:39.134379
HUB15-HUB01,2025-12-25,2025-12-27,"[0.4, 1.1, 0.4]","[20.2, 13.9, 20.4]",2026-08-14 06:28:39.134519
HUB13-HUB12,2024-05-22,2024-05-23,"[0.2, 0.6]","[19.1, 23.9]",2026-08-14 06:28:39.134660
HUB14-HUB03,2023-12-20,2023-12-22,"[0.0, 0.9, 0.4]","[14.3, 15.8, 15.7]",2026-08-14 06:28:39.134799
HUB08-HUB13,2023-03-01,2023-03-05,"[0.0, 0.5, 0.3, 0.1, 1.3]","[5.7, 25.7, 1.9, 20.4, 14.9]",2026-08-14 06:28:39.134955
HUB08-HUB05,2024-04-07,2024-04-08,"[0.0, 0.4]","[16.3, 13.8]",2026-08-14 06:28:39.135085
HUB08-HUB14,2025-10-16,2025-10-19,"[0.0, 0.0, 0.8, 0.5]","[21.5, 16.9, 21.4, 18.1]",2026-08-14 06:28:39.135266
HUB06-HUB17,2024-02-05,2024-02-08,"[0.3, 0.0, 0.8, 0.0]","[16.4, 12.9, 15.5, 16.1]",2026-08-14 06:28:39.135417
HUB01-HUB05,2025-08-22,2025-08-25,"[0.1, 1.3, 0.4, 0.0]","[14.5, 16.6, 11.9, 18.4]",2026-08-14 06:28:39.135564
HUB12-HUB03,2025-10-25,2025-10-28,"[0.0, None, 13.1, 0.3]","[0.9, 20.3, 13.0, 29.7]",2026-08-14 06:28:39.135729
HUB12-HUB09,2023-11-30,2023-12-04,"[0.5, 0.1, 13.1, 0.0, 5.6]","[14.2, 10.8, 14.2, 16.9, 16.0]",2026-08-14 06:28:39.135889
HUB08-HUB02,2024-02-10,2024-02-12,"[1.7, 0.0, 0.0]","[11.8, 18.4, 17.0]",2026-08-14 06:28:39.136028
HUB12-HUB15,2024-01-01,2024-01-04,"[0.1, 0.3, 0.0, 0.5]","[18.8, 10.5, 7.0, 27.4]",2026-08-14 06:28:39.136205
HUB14-HUB18,2024-05-21,2024-05-23,"[0.4, 0.2, 0.3]","[26.7, 14.0, 13.6]",2026-08-14 06:28:39.136355
HUB17-HUB18,2025-12-19,2025-12-22,"[0.0, 0.1, 0.4, 0.6]","[18.9, 19.1, 16.0, 19.3]",2026-08-14 06:28:39.136501
HUB16-HUB02,2025-11-13,2025-11-15,"[12.7, 0.4, 0.0]","[11.5, 15.1, 12.8]",2026-08-14 06:28:39.136646
HUB07-HUB18,2024-11-15,2024-11-17,"[0.2, 0.0, 0.0]","[21.4, 22.3, 19.3]",2026-08-14 06:28:39.136782
HUB06-HUB04,2025-03-30,2025-04-01,"[0.0, 0.7, 0.5]","[7.8, 13.0, 5.5]",2026-08-14 06:28:39.136917
HUB09-HUB03,2025-11-20,2025-11-22,"[0.1, 0.4, 0.7]","[19.8, 25.8, 25.8]",2026-08-14 06:28:39.137050
HUB07-HUB10,2023-06-25,2023-06-29,"[42.2, 1.1, 94.3, 0.2, 6.5]","[8.3, 14.9, 8.7, 21.2, 11.1]",2026-08-14 06:28:39.137234
HUB13-HUB11,2025-02-12,2025-02-13,"[0.6, 0.2]","[0.8, 24.8]",2026-08-14 06:28:39.137366
HUB01-HUB05,2025-08-28,2025-08-31,"[9.4, 21.6, 1.4, 1.0]","[6.0, 16.3, 13.3, 14.6]",2026-08-14 06:28:39.137512
HUB05-HUB13,2024-12-26,2024-12-30,"[0.8, 0.8, 0.3, 0.5, 0.6]","[20.3, 12.6, 23.8, 14.6, 13.6]",2026-08-14 06:28:39.137703
HUB08-HUB14,2024-09-14,2024-09-17,"[6.9, 0.0, 0.3, 0.0]","[9.9, 8.5, 17.0, 14.1]",2026-08-14 06:28:39.137853
HUB02-HUB15,2025-09-23,2025-09-24,"[0.0, 0.0]","[10.6, 11.0]",2026-08-14 06:28:39.137976
HUB08-HUB09,2024-05-25,2024-05-26,"[None, 1.0]","[11.2, 10.1]",2026-08-14 06:28:39.138179
HUB03-HUB12,2025-02-17,2025-02-20,"[0.0, 4.3, 0.4, 0.0]","[17.5, 7.6, 20.8, 14.2]",2026-08-14 06:28:39.138355
HUB17-HUB11,2025-12-04,2025-12-06,"[0.6, 0.2, 0.0]","[32.4, 28.3, 31.0]",2026-08-14 06:28:39.138499
HUB02-HUB15,2024-07-04,2024-07-05,"[34.6, 34.7]","[20.8, 14.8]",2026-08-14 06:28:39.138639
HUB08-HUB01,2025-07-16,2025-07-18,"[8.6, 0.6, 2.8]","[14.3, 11.6, 16.0]",2026-08-14 06:28:39.138778
HUB05-HUB03,2025-03-16,2025-03-18,"[0.0, 1.6, 0.0]","[13.6, 23.9, 17.8]",2026-08-14 06:28:39.138911
HUB08-HUB15,2024-02-13,2024-02-15,"[None, 0.0, 0.4]","[12.9, 11.6, 12.5]",2026-08-14 06:28:39.139046
HUB14-HUB05,2025-06-11,2025-06-14,"[0.0, 15.9, 3.3, 0.2]","[9.9, 13.5, 16.5, 14.4]",2026-08-14 06:28:39.139217
HUB06-HUB07,2024-02-26,2024-02-27,"[1.1, 0.7]","[15.7, 12.5]",2026-08-14 06:28:39.139350
HUB14-HUB10,2023-04-23,2023-04-26,"[None, 0.6, 0.7, 0.5]","[15.4, 15.1, 16.6, 14.0]",2026-08-14 06:28:39.139501
HUB02-HUB18,2024-01-06,2024-01-07,"[0.1, 0.6]","[10.5, 19.5]",2026-08-14 06:28:39.139639
HUB18-HUB16,2023-10-20,2023-10-21,"[0.0, 0.2]","[9.6, 14.3]",2026-08-14 06:28:39.139767
